STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX
USW00094789,40.63915,-73.7639,2.7,9/5/10,78
USW00094789,40.63915,-73.7639,2.7,9/6/10,77
USW00094789,40.63915,-73.7639,2.7,9/7/10,82
USW00094789,40.63915,-73.7639,2.7,9/8/10,92
USW00094789,40.63915,-73.7639,2.7,9/9/10,74
USW00094789,40.63915,-73.7639,2.7,9/10/10,76
USW00094789,40.63915,-73.7639,2.7,9/11/10,79
USW00094789,40.63915,-73.7639,2.7,9/12/10,68
USW00094789,40.63915,-73.7639,2.7,9/13/10,76
USW00094789,40.63915,-73.7639,2.7,9/14/10,79
USW00094789,40.63915,-73.7639,2.7,9/15/10,73
USW00094789,40.63915,-73.7639,2.7,9/16/10,73
USW00094789,40.63915,-73.7639,2.7,9/17/10,75
USW00094789,40.63915,-73.7639,2.7,9/18/10,73
USW00094789,40.63915,-73.7639,2.7,9/19/10,77
USW00094789,40.63915,-73.7639,2.7,9/20/10,74
USW00094789,40.63915,-73.7639,2.7,9/21/10,70
USW00094789,40.63915,-73.7639,2.7,9/22/10,80
USW00094789,40.63915,-73.7639,2.7,9/23/10,80
USW00094789,40.63915,-73.7639,2.7,9/24/10,77
USW00094789,40.63915,-73.7639,2.7,9/25/10,87
USW00094789,40.63915,-73.7639,2.7,9/26/10,75
USW00094789,40.63915,-73.7639,2.7,9/27/10,73
USW00094789,40.63915,-73.7639,2.7,9/28/10,74
USW00094789,40.63915,-73.7639,2.7,9/29/10,78
USW00094789,40.63915,-73.7639,2.7,9/30/10,77
USW00094789,40.63915,-73.7639,2.7,10/1/10,75
USW00094789,40.63915,-73.7639,2.7,10/2/10,68
USW00094789,40.63915,-73.7639,2.7,10/3/10,64
USW00094789,40.63915,-73.7639,2.7,10/4/10,57
USW00094789,40.63915,-73.7639,2.7,10/5/10,65
USW00094789,40.63915,-73.7639,2.7,10/6/10,65
USW00094789,40.63915,-73.7639,2.7,10/7/10,73
USW00094789,40.63915,-73.7639,2.7,10/8/10,73
USW00094789,40.63915,-73.7639,2.7,10/9/10,74
USW00094789,40.63915,-73.7639,2.7,10/10/10,69
USW00094789,40.63915,-73.7639,2.7,10/11/10,75
USW00094789,40.63915,-73.7639,2.7,10/12/10,71
USW00094789,40.63915,-73.7639,2.7,10/13/10,66
USW00094789,40.63915,-73.7639,2.7,10/14/10,65
USW00094789,40.63915,-73.7639,2.7,10/15/10,60
USW00094789,40.63915,-73.7639,2.7,10/16/10,61
USW00094789,40.63915,-73.7639,2.7,10/17/10,71
USW00094789,40.63915,-73.7639,2.7,10/18/10,62
USW00094789,40.63915,-73.7639,2.7,10/19/10,59
USW00094789,40.63915,-73.7639,2.7,10/20/10,60
USW00094789,40.63915,-73.7639,2.7,10/21/10,65
USW00094789,40.63915,-73.7639,2.7,10/22/10,55
USW00094789,40.63915,-73.7639,2.7,10/23/10,65
USW00094789,40.63915,-73.7639,2.7,10/24/10,66
USW00094789,40.63915,-73.7639,2.7,10/25/10,69
USW00094789,40.63915,-73.7639,2.7,10/26/10,69
USW00094789,40.63915,-73.7639,2.7,10/27/10,67
USW00094789,40.63915,-73.7639,2.7,10/28/10,76
USW00094789,40.63915,-73.7639,2.7,10/29/10,59
USW00094789,40.63915,-73.7639,2.7,10/30/10,58
USW00094789,40.63915,-73.7639,2.7,10/31/10,62
USW00094789,40.63915,-73.7639,2.7,11/1/10,50
USW00094789,40.63915,-73.7639,2.7,11/2/10,52
USW00094789,40.63915,-73.7639,2.7,11/3/10,53
USW00094789,40.63915,-73.7639,2.7,11/4/10,51
USW00094789,40.63915,-73.7639,2.7,11/5/10,55
USW00094789,40.63915,-73.7639,2.7,11/6/10,53
USW00094789,40.63915,-73.7639,2.7,11/7/10,52
USW00094789,40.63915,-73.7639,2.7,11/8/10,46
USW00094789,40.63915,-73.7639,2.7,11/9/10,55
USW00094789,40.63915,-73.7639,2.7,11/10/10,58
USW00094789,40.63915,-73.7639,2.7,11/11/10,57
USW00094789,40.63915,-73.7639,2.7,11/12/10,65
USW00094789,40.63915,-73.7639,2.7,11/13/10,66
USW00094789,40.63915,-73.7639,2.7,11/14/10,61
USW00094789,40.63915,-73.7639,2.7,11/15/10,60
USW00094789,40.63915,-73.7639,2.7,11/16/10,59
USW00094789,40.63915,-73.7639,2.7,11/17/10,62
USW00094789,40.63915,-73.7639,2.7,11/18/10,56
USW00094789,40.63915,-73.7639,2.7,11/19/10,50
USW00094789,40.63915,-73.7639,2.7,11/20/10,56
USW00094789,40.63915,-73.7639,2.7,11/21/10,49
USW00094789,40.63915,-73.7639,2.7,11/22/10,60
USW00094789,40.63915,-73.7639,2.7,11/23/10,60
USW00094789,40.63915,-73.7639,2.7,11/24/10,51
USW00094789,40.63915,-73.7639,2.7,11/25/10,50
USW00094789,40.63915,-73.7639,2.7,11/26/10,54
USW00094789,40.63915,-73.7639,2.7,11/27/10,44
USW00094789,40.63915,-73.7639,2.7,11/28/10,47
USW00094789,40.63915,-73.7639,2.7,11/29/10,48
USW00094789,40.63915,-73.7639,2.7,11/30/10,56
USW00094789,40.63915,-73.7639,2.7,12/1/10,59
USW00094789,40.63915,-73.7639,2.7,12/2/10,44
USW00094789,40.63915,-73.7639,2.7,12/3/10,42
USW00094789,40.63915,-73.7639,2.7,12/4/10,43
USW00094789,40.63915,-73.7639,2.7,12/5/10,37
USW00094789,40.63915,-73.7639,2.7,12/6/10,36
USW00094789,40.63915,-73.7639,2.7,12/7/10,39
USW00094789,40.63915,-73.7639,2.7,12/8/10,36
USW00094789,40.63915,-73.7639,2.7,12/9/10,32
USW00094789,40.63915,-73.7639,2.7,12/10/10,38
USW00094789,40.63915,-73.7639,2.7,12/11/10,44
USW00094789,40.63915,-73.7639,2.7,12/12/10,56
USW00094789,40.63915,-73.7639,2.7,12/13/10,50
USW00094789,40.63915,-73.7639,2.7,12/14/10,25
USW00094789,40.63915,-73.7639,2.7,12/15/10,30
USW00094789,40.63915,-73.7639,2.7,12/16/10,30
USW00094789,40.63915,-73.7639,2.7,12/17/10,38
USW00094789,40.63915,-73.7639,2.7,12/18/10,37
USW00094789,40.63915,-73.7639,2.7,12/19/10,38
USW00094789,40.63915,-73.7639,2.7,12/20/10,39
USW00094789,40.63915,-73.7639,2.7,12/21/10,43
USW00094789,40.63915,-73.7639,2.7,12/22/10,41
USW00094789,40.63915,-73.7639,2.7,12/23/10,37
USW00094789,40.63915,-73.7639,2.7,12/24/10,42
USW00094789,40.63915,-73.7639,2.7,12/25/10,33
USW00094789,40.63915,-73.7639,2.7,12/26/10,31
USW00094789,40.63915,-73.7639,2.7,12/27/10,27
USW00094789,40.63915,-73.7639,2.7,12/28/10,38
USW00094789,40.63915,-73.7639,2.7,12/29/10,38
USW00094789,40.63915,-73.7639,2.7,12/30/10,39
USW00094789,40.63915,-73.7639,2.7,12/31/10,40
USW00094789,40.63915,-73.7639,2.7,1/1/11,43
USW00094789,40.63915,-73.7639,2.7,1/2/11,49
USW00094789,40.63915,-73.7639,2.7,1/3/11,36
USW00094789,40.63915,-73.7639,2.7,1/4/11,38
USW00094789,40.63915,-73.7639,2.7,1/5/11,40
USW00094789,40.63915,-73.7639,2.7,1/6/11,34
USW00094789,40.63915,-73.7639,2.7,1/7/11,36
USW00094789,40.63915,-73.7639,2.7,1/8/11,32
USW00094789,40.63915,-73.7639,2.7,1/9/11,33
USW00094789,40.63915,-73.7639,2.7,1/10/11,36
USW00094789,40.63915,-73.7639,2.7,1/11/11,32
USW00094789,40.63915,-73.7639,2.7,1/12/11,32
USW00094789,40.63915,-73.7639,2.7,1/13/11,31
USW00094789,40.63915,-73.7639,2.7,1/14/11,30
USW00094789,40.63915,-73.7639,2.7,1/15/11,36
USW00094789,40.63915,-73.7639,2.7,1/16/11,36
USW00094789,40.63915,-73.7639,2.7,1/17/11,27
USW00094789,40.63915,-73.7639,2.7,1/18/11,45
USW00094789,40.63915,-73.7639,2.7,1/19/11,42
USW00094789,40.63915,-73.7639,2.7,1/20/11,36
USW00094789,40.63915,-73.7639,2.7,1/21/11,34
USW00094789,40.63915,-73.7639,2.7,1/22/11,25
USW00094789,40.63915,-73.7639,2.7,1/23/11,25
USW00094789,40.63915,-73.7639,2.7,1/24/11,25
USW00094789,40.63915,-73.7639,2.7,1/25/11,35
USW00094789,40.63915,-73.7639,2.7,1/26/11,34
USW00094789,40.63915,-73.7639,2.7,1/27/11,37
USW00094789,40.63915,-73.7639,2.7,1/28/11,35
USW00094789,40.63915,-73.7639,2.7,1/29/11,34
USW00094789,40.63915,-73.7639,2.7,1/30/11,39
USW00094789,40.63915,-73.7639,2.7,1/31/11,32
USW00094789,40.63915,-73.7639,2.7,2/1/11,33
USW00094789,40.63915,-73.7639,2.7,2/2/11,39
USW00094789,40.63915,-73.7639,2.7,2/3/11,34
USW00094789,40.63915,-73.7639,2.7,2/4/11,33
USW00094789,40.63915,-73.7639,2.7,2/5/11,43
USW00094789,40.63915,-73.7639,2.7,2/6/11,45
USW00094789,40.63915,-73.7639,2.7,2/7/11,40
USW00094789,40.63915,-73.7639,2.7,2/8/11,40
USW00094789,40.63915,-73.7639,2.7,2/9/11,29
USW00094789,40.63915,-73.7639,2.7,2/10/11,29
USW00094789,40.63915,-73.7639,2.7,2/11/11,36
USW00094789,40.63915,-73.7639,2.7,2/12/11,41
USW00094789,40.63915,-73.7639,2.7,2/13/11,42
USW00094789,40.63915,-73.7639,2.7,2/14/11,59
USW00094789,40.63915,-73.7639,2.7,2/15/11,38
USW00094789,40.63915,-73.7639,2.7,2/16/11,43
USW00094789,40.63915,-73.7639,2.7,2/17/11,55
USW00094789,40.63915,-73.7639,2.7,2/18/11,67
USW00094789,40.63915,-73.7639,2.7,2/19/11,54
USW00094789,40.63915,-73.7639,2.7,2/20/11,42
USW00094789,40.63915,-73.7639,2.7,2/21/11,38
USW00094789,40.63915,-73.7639,2.7,2/22/11,34
USW00094789,40.63915,-73.7639,2.7,2/23/11,43
USW00094789,40.63915,-73.7639,2.7,2/24/11,41
USW00094789,40.63915,-73.7639,2.7,2/25/11,54
USW00094789,40.63915,-73.7639,2.7,2/26/11,42
USW00094789,40.63915,-73.7639,2.7,2/27/11,53
